stop_id,stop_name,lat,lon,borough,in_lcc,degree,degree_rank,degree_percentile,betweenness,betweenness_rank,betweenness_percentile,closeness,closeness_rank,closeness_percentile
490012848W,Shakespeare Road,51.541060,-0.261830,,true,2,10,36,0.001371,5261,73,0.022162,8974,53
490012849E,Stone Close,51.511240,-0.461490,,true,2,10,36,0.000288,12827,34,0.024391,2620,86
490012849W,Stone Close,51.511010,-0.460750,,true,2,10,36,0.002209,3505,82,0.025855,790,96
490012852E,Stonefield Way,51.558440,-0.384510,,true,2,10,36,0.001625,4628,76,0.024630,2196,89
490012852W,Stonefield Way,51.558430,-0.383910,,true,2,10,36,0.002323,3328,83,0.025131,1463,92
490012853E,Stonehouse Lane,51.344520,0.117880,,false,,,,,,,,,
490012853W,Stonehouse Lane,51.344370,0.117400,,false,,,,,,,,,
490012854E,Stone Lake Retail Park,51.489400,0.036490,,true,2,10,36,0.000464,10406,46,0.024907,1784,91
490012854W,Stone Lake Retail Park,51.488690,0.035230,,true,3,9,80,0.000480,10241,47,0.024959,1705,91
490012857N,Stoneleigh Place,51.510800,-0.216820,,true,2,10,36,0.000191,14646,24,0.022486,7823,59
490012857S,Stoneleigh Place,51.511180,-0.216820,,true,2,10,36,0.000197,14520,25,0.022277,8547,55
490012859N,Crease Park,51.397090,-0.029170,,true,3,9,80,0.000448,10597,45,0.022140,9061,52
490012859S,Crease Park,51.397090,-0.029170,,true,3,9,80,0.000457,10491,46,0.022152,9003,53
490012861N,Beadon Road,51.394930,0.013460,,true,2,10,36,0.000238,13705,29,0.023678,4227,78
490012861S,Beadon Road,51.395070,0.013650,,true,2,10,36,0.000241,13643,30,0.024755,2010,90
490012862N,Oasis Academy Byron,51.312210,-0.123250,,true,2,10,36,0.002757,2804,86,0.017505,17614,8
490012862S,Oasis Academy Byron,51.311890,-0.122890,,true,2,10,36,0.001499,4935,75,0.017327,17745,7
490012863E,Stormont Road,51.572890,-0.161070,,true,2,10,36,0.001234,5696,71,0.022405,8093,58
